id,prov,name,votes,cpc,ndp,lpc,bq,gpc,other
24074,24,Vaudreuil--Soulanges,55478,9770,24134,6873,13129,1574,0
24075,24,Terrebonne,49720,4011,25626,3441,15303,1339,0
24076,24,Trois-Rivières,56907,7483,28280,5707,13775,1079,583
24077,24,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs,40074,4772,16627,11014,6424,1118,122
24078,24,Vimy,47163,6020,20138,9598,10256,908,239
35001,35,Ajax,44166,19535,6624,16754,0,1200,53
35002,35,Algoma--Manitoulin--Kapuskasing,39175,12733,19560,5662,0,1208,11
35003,35,Aurora--Oak Ridges--Richmond Hill,39258,20223,6263,10941,0,1364,472
35004,35,Barrie--Innisfil,41174,25226,8347,5153,0,2191,258
35005,35,Barrie--Springwater--Oro-Medonte,44870,24477,8983,7601,0,2734,1082
35006,35,Bay of Quinte,50006,25905,11508,10442,0,1887,265
35007,35,Beaches--East York,48669,11067,20265,14967,0,2240,130
35008,35,Brampton Centre,34798,16146,8074,8823,0,1548,205
35009,35,Brampton East,28623,8440,10775,8775,0,487,148
35010,35,Brampton North,39811,19455,7498,11209,0,1466,184
35011,35,Brampton South,35557,16148,5837,12585,0,804,186
35012,35,Brampton West,28506,11977,5594,10285,0,448,201
35013,35,Brantford--Brant,55085,26667,15947,10410,0,1766,295
35014,35,Bruce--Grey--Owen Sound,51054,28744,9008,8203,0,5099,0
35015,35,Burlington,61252,33162,11548,14235,0,2165,140
35016,35,Cambridge,44829,23644,12512,6923,0,1614,134
35017,35,Chatham-Kent--Leamington,46375,24672,12595,7554,0,1551,4
35018,35,Davenport,39063,5553,20985,10897,0,1335,294
35019,35,Don Valley East,35173,12794,7694,13503,0,993,188
35020,35,Don Valley North,39214,15802,8128,14626,0,517,142
35021,35,Don Valley West,45325,19894,4872,18804,0,1616,140
35022,35,Dufferin--Caledon,48549,28647,6409,6361,0,7132,0
35023,35,Durham,50576,27901,12011,7855,0,2306,499
35024,35,Eglinton--Lawrence,48389,22652,5613,18590,0,1534,0
35025,35,Elgin--Middlesex--London,48898,28388,11774,6559,0,1478,700
35026,35,Essex,50220,24239,17529,7161,0,1217,73
35027,35,Etobicoke Centre,53290,22307,7792,21616,0,1431,146
35028,35,Etobicoke--Lakeshore,50916,20486,10338,17866,0,2047,183
35029,35,Etobicoke North,35072,11207,8283,14929,0,60,594
35030,35,Flamborough--Glanbrook,45384,25144,10344,7671,0,1892,336
35031,35,Glengarry--Prescott--Russell,54904,26802,9149,16801,0,1964,187
35032,35,Guelph,59021,19352,9880,25588,0,3619,582
35033,35,Haldimand--Norfolk,50366,25655,10062,12549,0,1665,435
35034,35,Haliburton--Kawartha Lakes--Brock,54701,32841,12068,7030,0,2760,0
35035,35,Hamilton Centre,34423,8078,20742,4509,0,172,925
35036,35,Hamilton East--Stoney Creek,44848,16557,19848,6090,0,1278,1075
35037,35,Hamilton Mountain,45009,14535,21806,7041,0,1270,358
35038,35,Hamilton West--Ancaster--Dundas,53204,22555,14997,13254,0,1985,408
35039,35,Hastings--Lennox and Addington,43076,23629,10335,7352,0,1476,285
35040,35,Huron--Bruce,53241,29255,13493,8784,0,1455,254
35041,35,Kanata--Carleton,50803,27285,7765,13445,0,2307,0
35042,35,Kenora,24586,11567,6855,5381,0,636,147
35043,35,King--Vaughan,38823,22177,4779,10676,0,1063,127
35044,35,Kingston and the Islands,56636,19288,12242,22666,0,2437,0
35045,35,Kitchener Centre,46997,18968,10305,15175,0,2155,395
35046,35,Kitchener--Conestoga,40274,21915,7351,9454,0,1468,86
35047,35,Kitchener South--Hespeler,39662,20306,10219,7506,0,1587,47
35048,35,Lambton--Kent--Middlesex,50776,29322,12162,7186,0,1693,413
35049,35,Lanark--Frontenac--Kingston,50182,30151,9092,8219,0,2451,274
35050,35,Leeds-Grenville-Thousand Islands and Rideau Lakes,49319,29989,9032,7839,0,2460,0
35051,35,London--Fanshawe,47456,16098,23655,5709,0,1410,581
35052,35,London North Centre,53442,19802,12974,18298,0,2160,211
35053,35,London West,58343,26296,14830,15594,0,1563,59
35054,35,Markham--Stouffville,47185,23820,8011,13661,0,1285,406
35055,35,Markham--Thornhill,38075,13857,8907,14129,0,998,187
35056,35,Markham--Unionville,39330,18024,6500,13249,0,1182,376
35057,35,Milton,33844,18630,5593,8184,0,1310,127
35058,35,Mississauga Centre,42677,17792,8106,15670,0,987,122
35059,35,Mississauga East--Cooksville,44250,19268,7813,15999,0,959,210
35060,35,Mississauga--Erin Mills,46468,21646,7504,15978,0,1274,66
35061,35,Mississauga--Lakeshore,51742,24271,6617,19069,0,1593,196
35062,35,Mississauga--Malton,36634,13715,8584,13478,0,744,111
35063,35,Mississauga--Streetsville,46237,21325,7033,16179,0,1689,10
35064,35,Nepean,51128,26087,9117,13863,0,2063,0
35065,35,Newmarket--Aurora,47281,25558,7467,11207,0,2071,976
35066,35,Niagara Centre,48548,18969,20957,6970,0,1204,445
35067,35,Niagara Falls,53980,28748,12681,10206,0,2086,259
35068,35,Niagara West,43722,26000,8400,6249,0,1970,1100
35069,35,Nickel Belt,44148,12373,24276,6209,0,1231,59
35070,35,Nipissing--Timiskaming,42212,15368,8919,15403,0,2519,0
35071,35,Northumberland--Peterborough South,55048,29376,11331,11611,0,2575,154
35072,35,Oakville,58215,30068,8117,17890,0,2140,0
35073,35,Oakville North--Burlington,46841,25369,7264,12632,0,1453,122
35074,35,Oshawa,52489,26839,19474,4022,0,1863,294
35075,35,Ottawa Centre,64685,13992,33738,13015,0,3258,686
35076,35,Orléans,64006,28917,8945,24306,0,1832,7
35077,35,Ottawa South,58971,19625,10710,25954,0,1787,895
35078,35,Ottawa--Vanier,56219,15710,16126,21418,0,2843,122
35079,35,Ottawa West--Nepean,56606,25297,11195,17824,0,2283,3
35080,35,Oxford,48804,28783,12418,4707,0,2110,786
35081,35,Parkdale--High Park,50945,7924,24046,16757,0,1666,552
35082,35,Parry Sound--Muskoka,46409,25864,11217,5330,0,3776,222
35083,35,Perth--Wellington,46401,25281,9861,8341,0,2112,806
35084,35,Peterborough--Kawartha,57382,28436,14342,12231,0,2107,268
35085,35,Pickering--Uxbridge,49097,22573,7731,16482,0,2218,96
35086,35,Renfrew--Nipissing--Pembroke,51398,27462,6903,6545,0,877,9611
35087,35,Richmond Hill,42532,18521,7244,15150,0,1612,4
35088,35,Carleton,46909,28929,6262,9786,0,1931,0
35089,35,St. Catharines,49529,25089,11860,10249,0,1896,436
35090,35,Toronto--St. Paul's,49000,15886,11087,19564,0,2196,267
35091,35,Sarnia--Lambton,49665,26112,14856,6931,0,1252,514
35092,35,Sault Ste. Marie,40388,16316,15124,7966,0,846,138
35093,35,Scarborough--Agincourt,37738,12887,6788,17196,0,866,0
35094,35,Scarborough Centre,36809,12842,11286,11738,0,945,0
35095,35,Scarborough--Guildwood,34593,11998,9235,12381,0,770,207
35096,35,Scarborough North,35830,11959,12673,10344,0,578,277
35097,35,Scarborough--Rouge Park,40730,12867,12621,14156,0,975,112
35098,35,Scarborough Southwest,39379,12474,13730,11554,0,1601,20
35099,35,Simcoe--Grey,55259,26765,9631,7000,0,3059,8807
35100,35,Simcoe North,51591,27795,10540,9931,0,3020,300
35101,35,Spadina--Fort York,36970,7713,18351,9014,0,1541,350
35102,35,Stormont--Dundas--South Glengarry,47550,29538,8313,8510,0,1038,151
35103,35,Sudbury,45441,12881,22684,8172,0,1359,345
35104,35,Thornhill,46114,29140,5299,10374,0,1141,160
35105,35,Thunder Bay--Rainy River,37260,10138,18125,8085,0,911,0
35106,35,Thunder Bay--Superior North,37649,11162,18882,6202,0,1137,265
35107,35,Timmins--James Bay,33703,10744,16832,5389,0,741,0
35108,35,Toronto Centre,37350,6475,13617,14829,0,1943,486
35109,35,Toronto--Danforth,48086,6885,29235,8472,0,3107,387
35110,35,University--Rosedale,46661,9393,20452,14266,0,2175,379
35111,35,Vaughan--Woodbridge,38449,21750,4113,11807,0,780,0
35112,35,Waterloo,53634,22192,8014,20552,0,2508,366
35113,35,Wellington--Halton Hills,55154,35131,7146,9034,0,3527,316
35114,35,Whitby,52771,31034,11297,7644,0,2628,168
35115,35,Willowdale,38984,16167,7384,15281,0,152,0
35116,35,Windsor--Tecumseh,44540,14945,22235,5764,0,1354,242
35117,35,Windsor West,39745,12577,21592,4327,0,1096,153
35118,35,York Centre,35544,17249,5650,11815,0,832,0
35119,35,York--Simcoe,38678,24623,7187,4384,0,2073,408
35120,35,York South--Weston,35198,8559,14122,11542,0,975,0
35121,35,Humber River--Black Creek,27724,6122,7721,13030,0,450,401
46001,46,Brandon--Souris,33298,21256,8203,1912,0,1912,18
46002,46,Charleswood--St. James--Assiniboia--Headingley,40418,23264,8134,7433,0,1587,0
46003,46,Churchill--Keewatinook Aski,21203,5540,10962,4213,0,490,0
46004,46,Dauphin--Swan River--Neepawa,34429,22212,8540,2180,0,1470,27
46005,46,Elmwood--Transcona,34290,16085,15363,1779,0,1053,7
46006,46,Kildonan--St. Paul,36628,21416,11007,2887,0,970,348
46007,46,Portage--Lisgar,33958,25739,3467,2032,0,1915,809
46008,46,Provencher,35005,24627,6358,2356,0,1039,625
46009,46,Saint Boniface--Saint Vital,40419,20261,6381,12611,0,1165,0
46010,46,Selkirk--Interlake--Eastman,42683,28380,10696,2071,0,1482,53
46011,46,Winnipeg Centre,25955,7173,13928,2872,0,1830,152
46012,46,Winnipeg North,26668,7295,9439,9331,0,475,125
46013,46,Winnipeg South,39642,20511,5605,12684,0,848,0
46014,46,Winnipeg South Centre,46620,19185,8554,17058,0,1501,321
47001,47,Battlefords--Lloydminster,26033,17166,7304,880,0,679,0
47002,47,Cypress Hills--Grasslands,32408,22870,6741,1895,0,901,0
47003,47,Desnethé--Missinippi--Churchill River,20833,9766,9454,1098,0,513,0
47004,47,Carlton Trail--Eagle Creek,32640,22310,7962,1278,0,854,236
47005,47,Moose Jaw--Lake Centre--Lanigan,37669,22963,12256,1427,0,1020,9
47006,47,Prince Albert,33281,20775,10482,1144,0,741,142
47007,47,Regina--Lewvan,38513,16893,17398,3156,0,1061,0
47008,47,Regina--Qu'Appelle,30451,16196,11768,1447,0,907,127
47009,47,Regina--Wascana,36566,13057,7342,15271,0,898,0
47010,47,Saskatoon--Grasswood,36075,18119,14373,2642,0,900,43
47011,47,Saskatoon--University,35120,17067,13344,3374,0,1027,310
47012,47,Saskatoon West,30458,12956,15574,1146,0,783,0
47013,47,Souris--Moose Mountain,30777,22425,5690,1718,0,945,0
47014,47,Yorkton--Melville,34274,23607,7526,2267,0,818,58
48001,48,Banff--Airdrie,42326,29941,5534,3412,0,3278,165
48002,48,Battle River--Crowfoot,47713,39646,4694,1027,0,1859,486
48003,48,Bow River,36469,30412,2975,1291,0,1244,547
48004,48,Calgary Centre,41451,22949,6286,7926,0,4283,8
48005,48,Calgary Confederation,50772,26619,8035,8957,0,6955,201
48006,48,Calgary Forest Lawn,30900,19573,4064,5396,0,1638,227
48007,48,Calgary Heritage,46734,34761,5662,3486,0,2567,256
48008,48,Calgary Midnapore,48776,37021,5146,3124,0,3137,345
48009,48,Calgary Nose Hill,42061,29143,5377,4646,0,2838,59
48010,48,Calgary Rocky Ridge,44045,30178,5050,5571,0,3189,51
48011,48,Calgary Shepard,39602,29905,4407,2846,0,2202,240
48012,48,Calgary Signal Hill,44972,29199,4759,6947,0,3946,120
48013,48,Calgary Skyview,29460,16573,2958,8438,0,1363,129
48014,48,Edmonton Centre,43091,19909,11126,10226,0,1535,297
48015,48,Edmonton Griesbach,37766,19833,14152,2483,0,1298,0
48016,48,Edmonton Manning,34179,18954,9082,3112,0,983,2049
48017,48,Edmonton Mill Woods,35452,20895,9005,4157,0,1062,335
48018,48,Edmonton Riverbend,43269,25689,9158,6271,0,2149,0
48019,48,Edmonton Strathcona,49808,20084,26752,1422,0,1165,384
48020,48,Edmonton West,38527,24733,7502,4801,0,1416,73
48021,48,Edmonton--Wetaskiwin,41280,31196,5892,2364,0,1688,142
48022,48,Foothills,46129,35899,4655,1624,0,2193,1758
48023,48,Fort McMurray--Cold Lake,25650,18602,3366,2767,0,915,0
48024,48,Grande Prairie--Mackenzie,33845,25763,5212,1076,0,1271,525
48025,48,Lakeland,41182,32527,4623,2101,0,1739,191
48026,48,Lethbridge,41163,21618,12329,3759,0,1845,1614
48027,48,Medicine Hat--Cardston--Warner,37348,25659,5579,4165,0,1659,288
48028,48,Peace River--Westlock,37256,28986,4857,1357,0,1438,616
48029,48,Red Deer--Mountain View,47256,37507,5628,1671,0,2385,66
48030,48,Red Deer--Lacombe,40624,31453,5807,1449,0,1918,0
48031,48,St. Albert--Edmonton,42844,27627,8600,4642,0,1973,0
48032,48,Sherwood Park--Fort Saskatchewan,50324,24889,5648,3254,0,2046,14486
48033,48,Sturgeon River--Parkland,43607,33789,5657,2385,0,1742,35
48034,48,Yellowhead,40013,31238,5154,1158,0,2135,328
59001,59,Abbotsford,37467,25059,7210,3258,0,1744,195
59002,59,Burnaby North--Seymour,43290,19149,15218,6804,0,1681,438
59003,59,Burnaby South,36525,14471,16071,4282,0,1317,386
59004,59,Cariboo--Prince George,43237,24325,13017,2191,0,2673,1033
59005,59,Central Okanagan--Similkameen--Nicola,48893,26690,12736,4918,0,3796,754
59006,59,Chilliwack--Hope,38190,22748,8973,4273,0,1923,276
59007,59,Cloverdale--Langley City,37639,21598,9288,4442,0,1738,580
59008,59,Coquitlam--Port Coquitlam,40285,22372,12476,3330,0,1744,364
59009,59,Courtenay--Alberni,57473,25798,23399,3860,0,3933,480
59010,59,Cowichan--Malahat--Langford,47760,20567,20818,2774,0,3454,153
59011,59,Delta,45842,21983,12862,8514,0,2177,307
59012,59,Fleetwood--Port Kells,34583,16543,11435,5418,0,888,306
59013,59,Kamloops--Thompson--Cariboo,55993,29279,20682,3001,0,2847,185
59014,59,Kelowna--Lake Country,48339,28220,10328,5546,0,4244,0
59015,59,Kootenay--Columbia,52801,26448,20510,1840,0,3394,609
